"titulo";"url_noticia";"tag";"texto";"url_imagen";"periodista";"tiempo";"fecha_captura"
"   Desde 2019 se han trasladado 222 pacientes para realizar interrupción del embarazo bajo alguna de las tres causalesExclusivo suscriptor";"/la-tercera-pm/noticia/desde-2019-se-han-trasladado-222-pacientes-para-realizar-la-interrupcion-del-embarazo-bajo-alguna-de-las-tres-causales/ZSZFZKY7FNDYHNZRW5UCKLE4FU/";"La Tercera PM ";"Según cifras de salud, en la mayoría de los casos las derivaciones se deben al aumento de complejidad en el manejo clínico de las pacientes, porque no todos los establecimientos cuentan con los profesionales o técnicas adecuadas para realizar el aborto. Con todo, desde el Ejecutivo afirman que la movilización de las solicitantes no constituye una dificultad de acceso, pues el derecho al procedimiento se garantiza de todas formas.";"https://www.latercera.com/resizer/hEqECzAmT2qCY9e55ukwUmbSpgo=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/6OKZCGKUSZF57HNHVHGYHLCVTA.jpg";"Ignacia Canales y Mariana Orellana";" hace 47 minutos ";"2024-07-03"
"   Las reuniones a puertas cerradas de Pardow con Marcel para controlar las críticas por el tarifazo y sus gestiones con la derechaExclusivo suscriptor";"/la-tercera-pm/noticia/las-reuniones-a-puertas-cerradas-de-pardow-con-marcel-para-controlar-las-criticas-por-el-tarifazo-y-sus-gestiones-con-la-derecha/DW4VR355HJGUHOXUIGD7CBS4JA/";"Energía ";"Las gestiones del secretario de Estado para alinear al Congreso le ha traído más de un conflicto. La diputada Marlene Pérez acusa de haber sido persuadida para escribir a su favor en redes sociales.";"https://www.latercera.com/resizer/pg-C0oEg9qJGB5rbl0yTzo032v4=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/FVRUYIFMDZC25HNS5YRHNBHM2A.jpg";"Martín Browne";" hace 47 minutos ";"2024-07-03"
"   Cordero defiende efectividad de inhibidores de señal y precisa que en algunos recintos el bloqueo es menor por razones investigativas ";"/nacional/noticia/cordero-defiende-efectividad-de-inhibidores-de-senal-y-precisa-que-en-algunos-recintos-el-bloqueo-es-menor-por-razones-investigativas/VU4EMBAWMNHP5HQS7V3L2B55YM/";"Inhibidores de señal ";"Con respecto a la denuncia realizada en Contraloría por diputados UDI para investigar un posible mal funcionamiento de los aparatos, señaló que ""Gendarmería está entregando todos los datos y los auditores han ido a ver el funcionamiento del sistema, porque aquí hay que combinar el uso con cierto ámbito de protección por razones de seguridad, porque así como tenemos la tecnología, los incentivos a eludirla son significativos"".";"https://www.latercera.com/resizer/uZu0QogKk3tlTaG8v-R9DHTEKt0=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/JIOHFCZ4PNHINCYDDGO6WCUIFU.jpg";"Shelmmy Carvajal";" hace 48 minutos ";"2024-07-03"
"   Cámara de Diputados aprueba solicitud de remoción de directora y de consejero del INDH";"/politica/noticia/camara-de-diputados-aprueba-solicitud-de-remocion-de-directora-y-de-consejero-del-indh/TC34WCR6AJBKNKLEVVWCHWE5MU/";"INDH ";"Con 66 votos a favor, 51 en contra y 8 abstenciones, la Corporación aprobó la remoción de Consuelo Contreras y Francisco Ugás.";"https://www.latercera.com/resizer/uEp8UZnOi0GMR0IlDklwiA8n7yY=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/Y74RZJNJ2JCUBDIX3SYQ32JECE.jpg";"Helen Mora";" hace 51 minutos ";"2024-07-03"
"   P. Republicano lo hace otra vez: anuncia candidatura en Maipú y amenaza con seguidilla de lanzamientos propiosExclusivo suscriptor";"/la-tercera-pm/noticia/republicanos-lo-hace-otra-vez-anuncia-candidatura-en-maipu-y-amenaza-con-seguidilla-de-lanzamientos-propios/W4HICO3Z6BHCNBCTTQ2ZOGPWZM/";"La Tercera PM ";"La tienda presentó al general (r) de Carabineros Enrique Bassaletti -hombre clave de la institución para enfrentar el estallido social- como candidato en Maipú, pese a que Chile Vamos esperaba levantar una carta en esa comuna. La decisión golpea el tablero de conversaciones en las derechas con miras a las elecciones de octubre.";"https://www.latercera.com/resizer/AxWfQHdw5MInkXfN1_0wIPu7CGk=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/N7Q2O7DMJZESNGWUOJ2TO2ZTA4.jpeg";"Luciano Jiménez y Nicolás Quiñones";" hace 51 minutos ";"2024-07-03"
"   Orrego descarta falta de apoyo en su candidatura para la reelección y afirma que “se fortalece todos los días”";"/politica/noticia/orrego-descarta-falta-de-apoyo-en-su-candidatura-para-la-reeleccion-y-afirma-que-se-fortalece-todos-los-dias/6OYXOZXGFJCGXPDBUMHG55BIPM/";"Claudio Orrego ";"De acuerdo al gobernador de la Región Metropolitana, hoy tiene el apoyo explícito de 24 alcaldes y alcaldesas, de ""miles"" de independientes de la región, y también mantiene el apoyo ""de todos los partidos del socialismo democrático y también de la Democracia Cristiana a través de sus autoridades oficiales”.";"https://www.latercera.com/resizer/EKAWYJd3LzlsTpS8--MBBtuCj18=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/X7GGDVFRFBERFPRZAIXFYSPBKI.jpg";"Daniela Silva";" hace 49 minutos ";"2024-07-03"
"   Qué es el smart power o “poder inteligente” en la relaciones internacionales y qué países lo aplican en la actualidad";"/tendencias/noticia/que-es-el-smart-power-o-poder-inteligente-en-la-relaciones-internacionales-y-que-paises-lo-aplican-en-la-actualidad/5RZQBFNQPJE3XEDUY5GQ7KSHWQ/";"Internacional ";"El concepto reúne desde aspectos como el armamento hasta otros como la influencia cultural y la diplomacia. Esto, desde una perspectiva altamente estratégica.";"https://www.latercera.com/resizer/dmoVmhqs5u2RvB9VCRXyzxHvdTY=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/HSWY2I24MVFBJJT3E35OJGUB5M.jpg";"Alexis Paiva Mack";" hace 58 minutos ";"2024-07-03"
"   “Yo te voy a bendecir, tengo poderes, paisana”: el insólito y millonario robo de joyas por parte de una gitana a una abogada en el exclusivo barrio El GolfExclusivo suscriptor";"/la-tercera-pm/noticia/yo-te-voy-a-bendecir-tengo-poderes-paisana-el-insolito-y-millonario-robo-de-joyas-por-parte-de-una-gitana-a-una-abogada-en-el-exclusivo-barrio-el-golf/OOZJ574MZRCD3PH5HDFE7ZTEAE/";"Judicial ";"La joven, de 27 años, fue víctima de una estafa por parte de una mujer que le ofreció en la calle ayudarla porque veía que tenía energías negativas y que alguien la había ""maldecido"". La profesional accedió a la asesoría, sin saber que se transformaría en víctima de un millonario ardid. La mujer terminó llevándose dos anillos -de diamantes y platino- y una cadena de oro avaluados en más de $11 millones; esta historia ahora está en manos de la justicia.";"https://www.latercera.com/resizer/LCabOSpmF0tOcmClikgxl7jmqXU=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/TJ5LQZUX3BEJNCINX47ISJRWBQ.jpg";"Juan Pablo Andrews";" hace 58 minutos ";"2024-07-03"
"   En bancarrota: Fisker quiere vender más de 3.000 autos con un 200% de descuento";"/mtonline/noticia/en-bancarrota-fisker-quiere-vender-mas-de-3000-autos-con-un-200-de-descuento/YII7UEPHTRCCJJLZXHEMFI2KO4/";"Quiebra ";"La firma estadounidense solicitó la aprobación del juez para vender los Ocean EV a 14.000 dólares por ejemplar.";"https://www.latercera.com/resizer/7TF_8eib6MBCsH6bi9bHFdLmIY8=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/ADBSTQK7YT4FYLEHN76J7NEJHQ.jpg";"Lorena Gallardo Gil";" Hace 1 hora ";"2024-07-03"
"   ¿Un cuarto chileno en París 2024? La inesperada puerta que se le abre a Christian Garin para clasificar a los Juegos Olímpicos";"/el-deportivo/noticia/un-cuarto-chileno-en-paris-la-inesperada-puerta-que-se-le-abre-a-christian-garin-para-clasificar-a-los-juegos-olimpicos/D2QTGKUSERHFDF3C5EK4ZZSDNQ/";"La Tercera PM ";"El jugador nacional se aferra a la posibilidad de que se empiecen a oficializar numerosas bajas en el cuadro final de la cita, por lo que las opciones de que la lista corra son amplias. Es por ello que la Fetech ya lo inscribió. De concretarse, el país llenaría por primera vez todos los cupos en singles.";"https://www.latercera.com/resizer/nCxmabvXJR_GJYzX0WEsYelK77M=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/2VC4Z6USZRFENFGFCFOSOCECXM.jpg";"Carlos González Lucay";" Hace 1 hora ";"2024-07-03"
